User ID;Category 1;Category 2;Category 3;Category 4
User 1;0.93;1.8;2.29;0.62
User 2;1.02;2.2;2.66;0.64
User 3;1.22;0.8;0.54;0.53
User 4;0.45;1.8;0.29;0.57
User 5;0.51;1.2;1.18;0.57
User 6;0.99;1.28;0.72;0.27
User 7;0.9;1.36;0.26;0.32
User 8;0.74;1.4;0.22;0.41
User 9;1.12;1.76;1.04;0.64
User 10;0.7;1.36;0.22;0.26
User 11;1.47;1;0.7;0.75
User 12;0.96;2.96;0.29;0.38
User 13;0.74;1.44;2.75;0.45
User 14;0.58;1.64;2.27;0.45
User 15;0.96;1.68;2.29;0.51
User 16;1.25;2.52;1.76;0.5
User 17;0.86;1.04;1.76;0.34
User 18;0.61;1.96;2.49;0.66
User 19;0.67;1.36;1.36;0.38
User 20;0.8;1.04;2.1;0.58
User 21;0.86;1.44;1.12;0.41
User 22;0.96;1.44;0.14;0.42
User 23;0.93;1.16;0.29;0.41
User 24;0.54;1.44;0.3;0.41
User 25;1.22;0.96;1.15;0.54
User 26;0.61;2.84;2.8;0.48
User 27;0.77;1.68;2.24;0.75
User 28;0.99;1.28;1.22;0.59
User 29;0.58;1.2;0.18;0.38
User 30;0.64;1.16;3.12;0.45
User 31;0.74;1.28;2.14;0.5
User 32;0.7;2.24;2.32;0.63
User 33;0.64;2;1.6;0.41
User 34;1.06;1.12;0.21;0.58
User 35;0.96;1.16;0.45;0.29
User 36;0.88;0.96;1.18;0.43
User 37;0.7;1.28;1.15;0.32
User 38;1.02;1.36;0.91;0.5
User 39;0.7;1.52;2.37;0.62
User 40;1.38;1.08;0.18;0.62
User 41;0.99;1.24;0.15;0.24
User 42;0.58;1.48;0.19;0.41
User 43;0.67;1.24;0.61;0.24
User 44;1.02;2;0.42;0.56
User 45;0.64;1.64;0.34;0.62
User 46;1.7;1.4;0.61;0.39
User 47;0.38;1.08;0.77;0.34
User 48;0.9;1.2;1.24;0.35
User 49;0.45;2.96;0.26;0.4
User 50;0.61;1.08;2.22;0.65
User 51;1.02;1.2;0.3;0.38
User 52;0.42;1.48;2.06;0.48
User 53;0.8;1.88;0.66;0.47
User 54;1.02;0.64;1.12;0.51
User 55;1.02;1.2;0.37;0.58
User 56;0.61;1.68;0.46;0.37
User 57;0.8;1.16;2.43;0.54
User 58;0.93;1.48;0.78;0.39
User 59;0.64;1.2;2.27;0.64
User 60;0.83;1.4;1.23;0.64
User 61;1.06;1.92;3.11;0.55
User 62;1.98;0.96;0.18;0.45
User 63;0.9;1.12;0.22;0.45
User 64;0.51;1.6;0.37;0.42
User 65;1.41;1.12;0.68;0.37
User 66;1.47;0.72;0.53;0.62
User 67;0.99;1.28;2.32;0.43
User 68;0.93;1;0.61;0.5
User 69;0.51;1.08;1.92;0.34
User 70;0.54;1.44;0.72;0.48
User 71;1.6;0.8;0.38;0.67
User 72;0.83;1.04;2.94;0.96
User 73;0.74;2.24;0.14;0.47
User 74;0.9;1.08;2.48;0.41
User 75;1.31;1.36;1.47;0.56
User 76;0.99;2.96;1.71;0.45
User 77;1.28;1.12;1.04;0.42
User 78;0.8;1.76;2.53;0.65
User 79;0.83;1.08;0.67;0.35
User 80;0.7;1.04;0.19;0.47
User 81;2.08;0.92;0.8;0.4
User 82;0.74;1.32;0.93;0.46
User 83;0.7;1.52;0.45;1.65
User 84;1.25;0.92;0.86;0.58
User 85;1.92;0.28;1.12;0.5
User 86;0.74;1.84;0.24;0.34
User 87;0.7;0.76;0.72;1.1
User 88;0.64;1.08;0.19;0.39
User 89;0.64;2.36;0.14;1.68
User 90;0.67;2.08;1.04;0.54
User 91;1.38;1.12;0.72;0.53
User 92;0.56;1.16;0.13;0.49
User 93;1.1;2.04;2.45;0.54
User 94;0.64;1.2;2.27;0.64
User 95;0.99;2;2.13;0.64
User 96;1.12;0.96;0.3;0.46
User 97;0.9;1.44;2.34;0.55
User 98;0.9;0.56;1.38;0.37
User 99;1.02;0.88;2.67;0.53
User 100;0.67;1.6;0.21;0.47
User 101;0.9;0.96;0.38;0.5
User 102;0.64;1.12;0.4;0.37
User 103;0.99;2.12;1.41;0.65
User 104;0.88;1.2;0.16;0.45
User 105;1.47;0.84;0.64;0.39
User 106;0.86;0.88;2.85;0.39
User 107;1.07;0.56;0.93;0.53
User 108;0.99;1.2;0.38;0.43
User 109;1.76;0.04;0.43;0.39
User 110;0.8;2.16;1.12;0.53
User 111;0.9;1.8;1.25;0.67
User 112;0.9;1.08;1.65;0.34
User 113;0.9;1.84;0.51;0.66
User 114;0.35;1.36;1.41;0.49
User 115;0.83;1.04;2.94;0.96
User 116;1.15;1.28;0.18;0.61
User 117;0.64;1.72;1.25;0.51
User 118;0.61;1.32;0.78;0.54
User 119;0.54;1.2;1.17;0.45
User 120;1.06;1.6;1.1;0.43
