User ID;Category 1;Category 2;Category 3;Category 4;Category 5;Category 6;Category 7;Category 8;Category 9;Category 10
User 491;1.38;1.12;1.8;0.37;0.82;1.16;3.18;2.69;1.22;3.3
User 492;1.18;1.28;0.26;0.33;1.1;1.36;3.17;3.03;1.76;3.38
User 493;0.7;1.16;0.14;0.39;0.9;1.18;3.17;2.79;1.15;2.96
User 494;1.09;2.64;2.54;0.53;0.7;2.18;3.19;2.79;1.6;2.34
User 495;0.93;2.2;0.35;0.57;0.46;1.58;3.18;2.78;2.21;2.74
User 496;0.77;1.36;0.18;0.39;1.3;2.1;3.16;2.95;1.02;3.5
User 497;0.51;0.88;0.26;0.48;0.96;1.42;3.17;2.88;1.02;3.04
User 498;0.61;1.24;2.32;0.51;1.04;2.58;3.19;2.75;1.6;2.46
User 499;0.77;1.16;2.13;0.45;1.3;1.74;3.18;2.96;1.47;2.94
User 500;0.9;1.12;0.67;0.5;1.38;2.1;3.18;2.98;1.41;2.86
User 501;0.96;2;1.94;0.51;1.02;1.7;3.19;2.7;1.7;2.38
User 502;2.72;1.96;1.39;0.32;1.06;2.46;3.18;2.86;1.15;2.86
User 503;0.9;1.08;2.48;0.41;0.82;1.78;3.18;2.83;1.41;3.46
User 504;0.64;1.28;0.48;0.35;0.7;1.58;3.18;3.01;2.18;2.98
User 505;0.99;1.04;0.35;0.58;0.74;2.22;3.18;2.99;1.5;2.78
User 506;2.5;2;0.24;0.51;0.8;1.78;3.17;2.89;1.54;3.12
User 507;0.86;1.04;1.31;0.48;0.56;1.78;3.18;3.05;2.05;2.62
User 508;0.7;1;1.78;0.64;2.98;2.36;3.18;2.74;1.15;2.5
User 509;0.86;0.76;1.06;0.51;2.62;2.34;3.18;2.81;1.09;2.7
User 510;1.12;2.04;0.19;0.33;0.26;1.36;3.17;3.07;1.34;3.18
User 511;1.22;1.16;2.18;0.55;1.38;2.52;3.19;2.66;1.92;2.54
User 512;0.96;1.2;0.19;0.33;0.66;1.24;3.16;2.94;1.28;3.62
User 513;0.67;1.24;0.96;0.53;0.78;1.44;3.18;2.9;1.6;2.88
User 514;0.77;1.88;2.43;0.65;1.06;3.12;3.2;2.69;2.11;2.4
User 515;0.86;1.2;0.35;0.42;0.96;1.72;3.17;2.57;0.96;3.06
User 516;0.9;1;2.84;0.5;1.28;2.14;3.2;2.97;1.54;2.54
User 517;1.31;0;0.26;0.72;0.96;1.16;3.18;2.9;2.14;2.88
User 518;0.64;1.04;2.03;0.53;1.6;1.9;3.18;2.9;1.12;2.88
User 519;0.96;1.28;0.22;0.37;0.82;2.14;3.18;2.62;1.34;2.8
User 520;0.77;1.08;0.3;0.55;1.06;2.26;3.18;3.23;1.73;2.66
User 521;0.51;1.36;0.13;0.33;0.7;1.02;3.18;2.89;1.63;2.7
User 522;0.86;1.04;1.89;0.61;1.46;2.3;3.19;2.77;1.92;2.62
User 523;0.51;1.08;2.48;0.57;0.66;1.8;3.19;2.58;1.38;2.32
User 524;0.74;0.96;0.26;0.42;0.86;1.54;3.17;2.86;1.63;3.04
User 525;0.7;1.64;2.46;0.57;1.46;2.54;3.2;2.95;1.89;2.38
User 526;0.86;1.36;1.68;0.49;1.3;3.04;3.19;2.7;1.31;2.78
User 527;0.7;1.12;1.23;0.49;1.52;2.34;3.18;2.78;1.76;2.66
User 528;0.77;1.4;0.16;0.59;0.94;1.94;3.18;3.06;1.41;2.66
User 529;1.34;1.64;0.37;0.39;0.58;1.94;3.18;2.72;1.66;2.94
User 530;0.53;0.96;0.18;0.58;0.66;1.4;3.18;2.95;1.5;2.42
User 531;0.86;0.6;0.24;0.64;0.94;1.7;3.18;2.78;1.44;2.34
User 532;1.12;0.16;0.19;0.69;0.62;1.44;3.18;2.9;1.73;2.46
User 533;0.83;1.2;1.25;0.56;1.04;2.02;3.18;2.66;1.86;2.66
User 534;0.8;1.08;1.45;0.45;0.98;1.7;3.18;2.9;1.09;3.02
User 535;0.9;0.88;1.84;0.41;0.72;2;3.18;2.66;1.06;2.82
User 536;0.58;1.12;1.57;0.45;0.78;1.5;3.18;2.77;1.44;2.9
User 537;0.74;2.24;2.63;0.72;1.4;3.76;3.2;2.75;1.63;2.48
User 538;0.64;1.04;2.35;0.51;1.42;1.66;3.19;2.66;2.21;2.5
User 539;0.61;1.84;0.61;0.47;2.18;2.5;3.18;2.83;1.92;2.98
User 540;0.96;1.16;0.36;0.42;0.22;2.8;3.18;2.83;1.98;2.64
User 541;0.8;1.36;0.75;0.35;0.9;1.78;3.18;2.86;1.22;2.82
User 542;1.44;0.28;0.18;0.34;0.26;1.74;3.17;2.64;0.9;2.88
User 543;0.83;1.08;0.24;0.46;0.5;1.52;3.18;2.98;1.98;2.8
User 544;0.7;1.56;0.96;0.4;1.18;1.88;3.17;2.77;1.06;3.34
User 545;0.99;1.04;1.17;0.57;0.98;2.1;3.19;2.74;1.38;2.4
User 546;0.86;2.96;0.24;0.41;0.72;1.62;3.18;2.98;1.54;2.98
User 547;0.61;1.64;0.18;0.46;1.02;1.9;3.17;2.59;1.34;3.04
User 548;0.96;1.48;0.21;0.58;0.42;1.28;3.18;2.95;1.98;2.66
User 549;0.96;1.92;1.18;0.61;0.9;1.98;3.18;2.82;1.7;2.62
User 550;0.96;1.32;0.34;0.48;0.82;1.7;3.17;2.95;1.34;3.34
User 551;1.23;1;0.59;0.35;1.02;1.62;3.18;2.85;2.02;2.98
User 552;1.06;1.04;2.5;0.56;1.78;2.8;3.2;2.72;2.18;2.54
User 553;0.9;0.88;1.17;0.47;0.7;2.1;3.18;3.06;2.05;2.62
User 554;1.63;1.2;0.67;0.75;1.02;2.2;3.18;2.85;1.34;2.42
User 555;0.67;2.4;0.34;0.53;1.26;2.2;3.18;2.71;1.73;2.7
User 556;0.7;0.88;2.66;0.5;1.04;1.46;3.19;2.88;1.54;2.4
User 557;0.58;1.48;0.24;0.49;0.42;1.38;3.18;2.82;1.6;2.88
User 558;0.96;0.88;0.22;0.53;0.42;1.8;3.18;2.74;2.46;2.78
User 559;0.96;1;0.3;0.33;0.88;1.58;3.17;2.98;2.11;3.34
User 560;1.06;0.8;0.29;0.35;1.3;2.12;3.18;3.03;1.7;2.94
User 561;0.74;0.8;1.82;0.5;1.2;1.74;3.18;2.63;1.63;2.58
User 562;0.93;1.6;3.11;0.49;0.96;2.08;3.2;2.61;1.5;2.38
User 563;0.9;0.88;1.94;0.55;1.12;2.18;3.18;2.85;1.47;2.7
User 564;0.7;1.52;1.46;0.5;0.94;1.7;3.18;2.64;0.96;2.94
User 565;0.77;1.56;0.24;0.62;0.98;2.1;3.18;2.86;1.66;2.48
User 566;0.99;1.08;1.41;0.24;1.52;2.08;3.18;2.74;1.22;2.94
User 567;0.74;1.68;2.89;0.57;0.94;1.92;3.2;2.86;1.34;2.34
User 568;0.7;1.6;2.36;0.48;1.18;1.73;3.2;2.98;1.31;2.42
User 569;1.15;2.12;2.06;0.56;1.68;1.86;3.19;2.62;1.44;2.42
User 570;0.58;1.2;0.32;0.43;1.04;2.54;3.18;2.95;1.18;3.26
User 571;0.9;2.16;2.06;0.56;1.66;2.17;3.19;2.72;1.44;2.42
User 572;0.74;1.36;0.21;0.29;0.62;1.48;3.17;2.98;1.18;3.38
User 573;0.77;1.08;1.82;0.39;1.06;2.32;3.19;2.85;1.41;2.4
User 574;0.67;1.76;0.3;0.41;0.26;1.58;3.18;2.67;2.24;3.42
User 575;0.96;1.44;0.72;0.62;0.82;2.7;3.18;3.02;1.82;2.78
User 576;0.74;1.28;1.36;0.66;1.26;2.48;3.18;2.83;1.28;2.64
User 577;0.77;0.88;0.24;0.43;1.02;2.1;3.18;3.03;1.76;2.64
User 578;0.64;1.48;0.24;0.56;0.74;1.72;3.18;2.8;1.66;2.88
User 579;0.67;1.48;0.26;0.56;0.62;1.26;3.18;2.81;1.54;2.9
User 580;0.86;0.96;0.74;1.12;0.96;1.7;3.18;2.8;1.57;2.56
User 581;0.83;1.36;1.07;0.33;0.56;2.16;3.18;2.74;1.6;2.82
User 582;0.64;1.36;1.52;0.47;1.02;2.68;3.18;2.79;1.41;2.7
User 583;0.9;1.2;0.85;0.62;1.18;2.14;3.18;2.78;1.54;2.74
User 584;0.67;1.6;0.19;0.45;1.02;1.42;3.18;2.86;1.73;2.88
User 585;1.06;1.28;0.16;0.47;1.04;1.6;3.17;2.72;1.18;3.26
User 586;1.47;1.04;0.43;0.48;0.74;1.1;3.17;3.01;1.63;3.2
User 587;0.48;1.12;0.7;0.33;0.38;1.42;3.18;2.88;1.47;2.78
User 588;0.96;1.6;0.29;0.32;0.62;1.62;3.18;2.79;1.25;2.9
User 589;0.58;1.04;2.77;0.58;0.46;1.98;3.19;2.66;1.38;2.5
User 590;0.93;2.08;0.27;0.39;1.1;2.58;3.18;2.89;1.89;2.78
User 591;0.96;1.12;0.91;0.5;0.82;1.66;3.18;2.81;1.63;2.72
User 592;0.83;1.32;0.18;0.31;1.22;1.5;3.17;2.98;1.38;3.04
User 593;0.7;2.28;0.22;2.38;0.38;1.28;3.18;2.81;1.38;2.66
User 594;0.83;1.96;1.33;0.54;1.44;2.54;3.18;2.87;1.28;2.74
User 595;1.12;0.8;0.91;0.39;0.48;1.56;3.18;2.96;1.38;2.7
User 596;1.76;0.6;1.57;0.35;0.5;1.66;3.18;2.98;1.5;2.72
User 597;0.96;1.32;0.37;0.49;0.74;1.66;3.17;2.97;1.41;3.36
User 598;0.77;1.08;0.22;0.65;0.88;2.02;3.18;2.86;1.79;2.54
User 599;0.86;0.96;2.02;0.5;1.28;1.58;3.19;2.7;1.79;2.66
User 600;1.12;2.96;0.16;0.5;0.48;1.76;3.18;2.78;1.76;2.72
User 601;0.64;1.36;0.91;0.4;0.86;1.1;3.18;2.83;1.47;3.06
User 602;1.15;0.8;0.26;3.1;0.64;1.86;3.18;2.77;2.02;2.62
User 603;0.67;2.2;2.34;0.61;0.9;2.12;3.19;2.61;1.41;2.46
User 604;0.77;1.48;0.29;0.35;0.16;0.82;3.17;2.94;1.09;3.26
User 605;1.22;0.68;1.41;0.91;1.34;2.82;3.19;3.09;2.11;2.5
User 606;0.64;1.2;0.94;0.39;0.94;2.02;3.19;3.09;1.28;2.26
User 607;1.09;1;1.02;0.4;1.02;1.38;3.18;2.58;0.74;3.26
User 608;1.31;1.36;0.75;0.48;0.5;1.7;3.18;2.89;1.34;2.78
User 609;1.06;3.12;1.58;0.48;0.56;3.34;3.18;2.67;1.76;2.94
User 610;0.7;1.32;0.34;0.59;0.4;1.02;3.18;2.85;1.31;2.82
User 611;0.66;0.64;2.01;0.58;0.82;1.54;3.18;3.02;1.22;2.88
User 612;0.74;1.04;1.3;0.62;1.26;2.42;3.18;2.78;1.57;2.5
User 613;0.83;0.92;0.82;0.39;1.28;2.14;3.18;3.39;1.63;2.8
User 614;0.67;1.28;0.26;0.51;1.02;1.26;3.17;2.87;3.01;3.3
User 615;1.87;0.28;1.14;0.5;0.9;1.94;3.18;2.97;1.82;2.58
User 616;0.54;1.16;0.38;0.33;1.38;1.58;3.17;2.7;1.06;3.44
User 617;0.7;1.44;0.22;0.64;0.56;2.04;3.18;2.85;1.7;2.78
User 618;1.82;1.56;0.62;0.39;0.58;1.62;3.18;2.93;2.14;3.42
User 619;1.25;1.04;0.43;0.43;1.04;2.5;3.18;3.03;1.6;2.88
User 620;0.96;1.32;0.56;0.38;0.66;1.54;3.17;2.85;1.41;3.12
User 621;0.74;1.32;0.16;0.49;1.22;1.46;3.17;2.7;2.08;2.88
User 622;0.8;1.8;1.25;0.55;1.38;2.5;3.18;2.85;1.7;2.42
User 623;0.99;1.32;2.03;0.43;0.88;1.54;3.18;2.7;2.08;2.78
User 624;0.74;0.96;0.62;0.51;0.96;1.84;3.18;2.8;2.05;3.02
User 625;0.9;1.48;1.46;0.42;0.42;1.02;3.18;2.71;1.73;2.96
User 626;1.66;0.24;0.43;0.59;0.8;1.06;3.18;2.95;1.38;2.48
User 627;0.8;1.92;1.6;0.5;2.08;3.2;3.19;2.89;1.5;2.54
User 628;0.75;1.08;1.88;0.34;0.9;1.58;3.18;2.73;1.6;2.5
User 629;0.7;0.88;0.19;0.43;0.14;1.66;3.17;2.75;1.18;2.98
User 630;0.58;1.44;0.21;0.41;1.06;1.56;3.18;2.9;3.04;2.54
User 631;0.7;1.36;0.19;0.41;0.86;1.28;3.17;2.72;2.37;3.1
User 632;2.05;1.2;0.19;0.34;0.48;1.02;3.17;2.81;1.92;3.44
User 633;0.51;1.2;0.42;0.49;0.9;1.2;3.17;2.56;1.5;2.98
User 634;0.61;1.2;2.05;0.61;1.3;3.06;3.19;2.79;1.57;2.42
User 635;0.83;1.96;0.83;0.46;0.5;1.34;3.18;2.78;1.09;2.7
User 636;0.8;1.12;1.6;0.63;1.5;1.74;3.18;2.86;1.12;2.9
User 637;0.86;1.4;1.25;0.55;2.02;2.62;3.18;2.88;1.38;2.54
User 638;1.38;0.96;1.07;0.66;1.06;2.18;3.18;2.85;1.31;2.64
User 639;1.06;1.44;0.42;0.58;0.7;1.68;3.17;2.95;1.7;3.38
User 640;0.51;1.96;0.21;0.42;0.72;1.38;3.18;2.87;1.82;2.82
User 641;1.73;0.84;2.61;0.63;1.1;2.42;3.19;2.98;1.73;2.78
User 642;0.54;2.96;0.38;0.61;1.62;2.42;3.18;3.22;2.43;2.8
User 643;1.09;2.76;0.21;0.66;0.32;2.28;3.18;2.72;1.5;2.58
User 644;0.74;1.56;0.24;0.61;0.7;1.42;3.18;2.82;1.5;2.96
User 645;0.93;2.24;1.9;0.49;1.76;3.06;3.19;2.69;2.02;2.48
User 646;0.61;1.56;0.19;0.41;0.86;1.14;3.18;2.81;1.6;2.8
User 647;0.94;0.8;0.35;0.56;0.48;1.78;3.18;2.86;2.18;2.66
User 648;0.64;1.52;0.21;0.39;0.98;1.38;3.16;2.77;1.66;3.38
User 649;0.38;1.44;0.34;0.5;1.26;1.94;3.18;2.9;2.37;3.04
User 650;1.09;1.96;1.17;0.51;1.62;2.74;3.18;2.74;1.28;2.4
User 651;0.58;1.24;0.26;0.56;0.96;1.7;3.18;3.2;2.14;2.78
User 652;0.8;1.32;0.34;0.24;0.46;1.02;3.17;2.9;1.44;3.28
User 653;0.61;1.56;0.19;0.41;0.86;1.14;3.18;2.81;1.6;2.8
User 654;0.7;1.32;0.32;0.51;0.82;1.34;3.18;3.04;1.76;3.04
User 655;0.48;1.12;2.35;0.58;0.78;1.98;3.19;2.63;1.25;2.4
User 656;0.74;1.56;2.27;0.66;1.3;2.56;3.19;2.65;1.54;2.4
User 657;0.7;1.64;1.07;0.39;1.04;1.54;3.18;2.82;1.47;3.06
User 658;1.34;0.76;1.1;0.47;1.66;2;3.18;2.87;1.18;2.66
User 659;0.72;1.6;0.67;0.34;0.78;1.58;3.17;3.18;1.15;3.42
User 660;0.8;1.8;0.37;0.51;1.06;1.58;3.17;2.81;1.54;3.18
User 661;0.99;1.96;2.46;0.53;0.34;1.58;3.2;2.82;1.44;2.54
User 662;1.09;0.64;1.12;0.42;0.7;1.54;3.18;3.07;1.44;2.66
User 663;0.7;0.8;2.56;0.5;1.1;1.5;3.19;2.86;1.47;2.38
User 664;0.93;0.92;0.18;0.5;1.02;2.4;3.17;2.91;1.09;3.18
User 665;1.06;1.28;1.3;0.43;0.24;0.46;3.17;2.86;1.15;3.38
User 666;1.5;1.16;2.37;0.27;0.58;1.9;3.18;2.78;1.54;3.2
User 667;1.95;1.52;1.94;3.44;0.64;2.94;3.2;2.62;1.54;2.46
User 668;1.25;1.04;1.58;0.67;0.88;2.42;3.18;2.7;1.34;2.9
User 669;0.54;1.16;0.8;0.32;0.66;1.44;3.17;2.79;1.09;3.28
User 670;0.51;1.48;0.21;0.41;1.2;1.66;3.17;2.83;1.63;3.3
User 671;1.63;0.96;0.34;0.49;0.38;2.06;3.17;2.86;1.92;3.46
User 672;0.77;1.6;2.46;0.59;2.16;2.64;3.19;2.85;2.21;2.5
User 673;1.76;0.68;1.31;0.46;0.34;0.8;3.18;2.74;0.96;2.54
User 674;0.86;1;0.29;0.47;0.24;1.46;3.18;2.74;1.73;2.4
User 675;0.83;0.6;0.19;0.61;0.94;1.66;3.18;2.74;1.47;2.34
User 676;0.58;1.96;0.18;0.38;0.74;1.08;3.18;2.66;2.18;2.78
User 677;0.77;1.16;0.32;0.26;0.5;1.14;3.17;2.89;1.44;3.34
User 678;2.26;0.4;2.08;0.5;1.18;2.86;3.19;2.75;1.6;2.42
User 679;1.66;1.04;0.91;0.43;0.72;1.74;3.17;2.77;0.86;3.46
User 680;0.8;1.56;0.34;0.41;0.8;1.66;3.17;2.91;1.38;3.26
User 681;1.02;1.04;0.24;0.65;0.46;1.88;3.18;2.88;1.15;2.86
User 682;0.96;1.16;0.45;0.29;0.98;1.42;3.18;2.94;2.02;3.02
User 683;0.83;0.96;1.47;0.5;1.46;2.02;3.18;2.94;1.22;2.5
User 684;0.96;1.96;0.26;0.51;0.82;1.34;3.18;3.02;1.89;2.72
User 685;0.86;1.84;1.78;0.61;1.18;2.36;3.19;2.82;2.14;2.5
User 686;0.9;1;2.06;0.62;0.9;2.52;3.19;2.89;1.38;2.4
User 687;0.77;1.36;0.75;0.46;1.14;2.14;3.18;2.85;1.89;2.82
User 688;1.02;1.4;0.22;0.57;0.22;2.18;3.18;2.88;1.34;2.86
User 689;0.9;1.68;0.29;0.35;0.8;1.24;3.18;2.74;1.25;3.04
User 690;0.7;1.28;0.94;0.62;1.06;2.02;3.18;2.85;1.82;2.88
User 691;0.83;0.72;0.22;0.39;0.48;1.8;3.18;2.95;1.12;2.72
User 692;0.77;1.48;0.98;0.31;1.02;1.5;3.17;2.83;1.09;3.3
User 693;0.93;1.28;0.22;0.25;0.46;0.62;3.17;2.98;1.12;3.06
User 694;0.77;1.88;0.21;0.49;0.48;1.74;3.18;2.83;1.44;2.94
User 695;0.96;1.8;0.56;2.25;2.02;2.4;3.18;2.69;1.25;2.42
User 696;0.7;1.32;0.27;0.47;1.78;2.18;3.18;2.95;1.79;2.78
User 697;1.66;2.16;1.26;0.41;0.62;2.26;3.18;2.9;1.5;3.26
User 698;1.34;0.8;0.22;0.69;0.4;2.24;3.18;2.72;1.28;2.5
User 699;0.83;1.04;0.35;0.4;0.26;0.96;3.17;2.77;1.54;3.24
User 700;0.74;1.96;1.25;0.4;0.58;1.26;3.18;2.7;1.09;3.2
User 701;0.45;1.96;0.94;0.61;0.58;1.58;3.18;2.98;1.15;2.5
User 702;0.7;1.96;1.66;0.55;1.38;2.6;3.19;2.94;1.41;2.72
User 703;1.09;2.96;1.79;0.79;1.18;2;3.19;2.66;2.59;2.46
User 704;0.67;1.96;0.29;0.43;1.18;2.02;3.17;2.95;1.41;3.36
User 705;1.54;1.28;0.22;0.24;0.58;1.62;3.17;2.8;1.7;3.38
User 706;0.64;1.52;0.16;0.42;0.56;0.98;3.18;2.86;1.18;2.94
User 707;0.8;0.96;0.27;0.55;0.7;1.66;3.18;2.99;1.92;2.7
User 708;0.83;0.76;1.31;0.58;1.42;2.5;3.18;2.81;1.66;2.58
User 709;1.31;0.2;0.24;0.72;0.46;1.6;3.18;2.86;1.79;2.46
User 710;0.7;1.44;0.88;0.33;0.8;1.4;3.18;2.85;1.5;3.14
User 711;1.34;1.04;1.47;0.66;0.9;2.66;3.19;2.79;1.76;2.48
User 712;0.54;1.28;0.26;0.61;1.26;2;3.18;2.93;2.43;2.56
User 713;1.28;1.28;0.27;0.4;1.04;1.12;3.17;3.19;1.54;3.38
User 714;1.02;1.24;0.27;0.41;1.22;2.6;3.18;2.7;1.54;2.8
User 715;0.96;1.96;0.75;0.41;0.46;1.4;3.18;2.9;2.18;3.3
User 716;1.06;1.64;0.32;0.31;0.38;1.06;3.17;2.9;2.02;3.3
User 717;0.54;1.08;0.24;0.42;0.54;1.3;3.18;3.07;1.34;2.94
User 718;0.7;2.12;2.42;0.59;0.58;1.82;3.19;2.62;1.12;2.5
User 719;1.31;0.92;2.37;0.62;0.74;2.32;3.2;2.82;1.57;2.58
User 720;1.02;0.92;2.59;0.63;0.96;2.34;3.19;2.9;1.73;2.42
User 721;0.45;1.36;0.21;0.63;1.34;2.04;3.18;2.93;2.56;2.56
User 722;0.99;1.12;0.22;0.4;0.74;1.42;3.16;2.66;1.28;3.52
User 723;1.09;0.8;0.93;0.71;1.38;2.7;3.18;2.82;1.41;2.62
User 724;1.22;0.56;0.62;0.69;0.72;1.5;3.18;2.73;1.09;2.46
User 725;0.74;1.2;0.29;0.38;0.42;1.22;3.17;2.91;1.28;3.14
User 726;0.8;2.04;1.28;0.54;1.62;2.52;3.18;2.86;1.57;2.46
User 727;0.58;0.76;0.75;0.53;1.52;2.14;3.18;2.95;2.11;2.8
User 728;0.99;1.36;1.18;0.67;0.96;2.32;3.19;3.07;1.98;2.96
User 729;0.86;2.96;0.21;1.98;0.9;1.62;3.18;2.7;1.47;2.46
User 730;1.63;1.16;1.81;0.39;1.62;2.98;3.19;2.79;1.79;2.54
User 731;1.09;1.44;1.42;0.33;1.18;1.7;3.18;2.91;1.12;3.18
User 732;0.61;1.24;0.26;0.71;0.82;2.3;3.18;2.98;1.41;3.12
User 733;1.06;0.56;0.77;0.59;0.72;1.7;3.18;2.86;1.54;2.5
User 734;0.61;1.4;2.16;0.43;1.3;1.58;3.18;2.66;2.02;2.86
User 735;0.61;1.32;0.21;0.35;0.58;1.16;3.17;2.74;1.98;3.28
User 736;0.7;1.08;0.26;0.65;1.2;1.3;3.18;2.93;1.41;2.64
User 737;0.93;1.92;0.37;0.56;0.96;2.38;3.18;2.82;2.05;2.82
User 738;0.8;1.12;1.78;0.64;1.2;2.34;3.19;3.04;1.38;2.54
User 739;0.64;1.24;1.18;0.61;0.86;2.82;3.18;2.94;1.89;2.78
User 740;1.18;1.36;0.51;0.32;1.12;2.16;3.17;2.67;1.06;3.3
User 741;0.9;2.04;1.26;0.64;1.3;2.74;3.18;2.82;1.66;2.5
User 742;0.86;0.72;1.23;0.55;1.2;2.48;3.18;2.87;1.5;2.4
User 743;0.74;1;0.26;0.41;0.74;1.9;3.18;2.94;1.73;2.74
User 744;1.09;1.2;0.29;0.51;1.18;1.9;3.18;2.66;1.44;2.88
User 745;0.83;1.36;1.02;0.39;0.7;1.32;3.18;2.87;1.31;2.46
User 746;0.82;2.6;0.19;0.9;0.46;1.82;3.18;2.85;1.34;2.5
User 747;0.9;1.44;0.29;0.47;1.02;1.2;3.17;2.9;3.14;3.18
User 748;0.96;2.84;0.21;1.83;1.18;1.98;3.18;2.74;1.34;2.38
User 749;0.67;1.12;0.43;0.38;1.02;1.26;3.17;2.66;1.38;3.14
User 750;0.99;1.04;0.77;0.42;0.96;1.98;3.18;2.86;1.31;2.78
User 751;0.74;1.52;2.29;0.66;1.46;2.58;3.19;2.74;1.41;2.4
User 752;1.02;1.52;0.76;0.38;0.62;1.26;3.17;3.04;1.34;3.14
User 753;1.22;1.36;1.33;0.59;1.18;2.24;3.19;2.77;1.66;2.46
User 754;1.12;1.04;1.09;0.39;0.96;1.6;3.18;3.01;1.28;3.06
User 755;1.28;1.68;0.99;0.75;1.1;2.34;3.18;2.78;1.73;2.5
User 756;1.28;1.28;0.96;0.39;1.34;1.7;3.18;3.12;1.86;3.34
User 757;1.33;0.76;0.26;0.45;0.72;1.18;3.18;3.14;1.31;2.66
User 758;0.7;1.12;0.35;0.46;0.64;1.66;3.18;2.83;1.54;2.8
User 759;0.74;1.6;1.58;0.41;0.64;1.18;3.18;2.69;1.34;2.8
User 760;1.7;0.96;0.13;0.33;0.78;1.14;3.18;2.81;1.02;2.42
User 761;0.77;1.04;1.31;0.62;1.26;2.42;3.18;2.78;1.6;2.54
User 762;0.99;1.48;0.99;0.59;0.34;2.18;3.18;2.88;1.25;2.34
User 763;1.09;1.56;0.83;0.46;1.2;2.18;3.18;2.94;1.5;3.3
User 764;1.02;1.28;1.33;0.49;0.86;1.4;3.18;2.88;1.5;2.98
User 765;0.74;1.48;1.26;0.57;1.6;2;3.18;2.54;1.57;2.48
User 766;1.02;1.32;1.58;0.37;0.58;1.2;3.18;2.75;1.38;3.22
User 767;0.7;1.68;0.37;0.61;0.72;1.52;3.18;2.66;1.38;2.66
User 768;1.02;0.96;0.99;0.55;0.82;3.04;3.18;2.87;1.98;2.5
User 769;1.02;0.96;0.21;0.69;1.14;2.72;3.18;3.19;1.63;2.46
User 770;1.34;0.56;1.71;0.53;0.48;1.26;3.18;2.86;1.06;2.86
User 771;0.74;1.6;1.2;0.46;1.34;2.02;3.18;2.77;0.86;3.04
User 772;0.64;1.4;0.98;0.29;0.26;0.54;3.18;2.48;1.66;2.9
User 773;0.8;0.96;1.18;0.5;0.56;1.5;3.18;3.01;1.86;2.8
User 774;0.99;1.2;0.14;0.51;0.42;1.46;3.18;2.62;1.25;2.7
User 775;0.42;1.52;0.29;0.53;0.38;1.52;3.18;2.95;2.88;3.12
User 776;1.41;0.72;1.23;1.1;0.74;2.8;3.19;3.17;2.3;2.46
User 777;0.67;1.6;0.27;0.35;1.28;1.78;3.18;3.04;1.57;3.06
User 778;0.74;1.68;1.18;0.5;1.5;2.52;3.18;2.86;1.54;2.48
User 779;1.25;0.96;0.16;0.55;0.22;1.58;3.18;2.66;0.99;2.7
User 780;0.74;1.36;0.21;0.29;0.62;1.48;3.17;2.98;1.18;3.38
User 781;0.86;1.2;2.08;0.54;1.84;2.14;3.19;2.81;1.6;2.56
