movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1,178,0,USA,237000000,760505847,886204,3054,723,33000,0,1000,936,855,4834,7.9,Good
2,169,0,USA,300000000,309404152,471220,1238,302,0,563,40000,5000,1000,48350,7.1,Good
3,148,1,UK,245000000,200074175,275868,994,602,85000,0,11000,393,161,11700,6.8,Good
4,164,0,USA,250000000,448130642,1144337,2701,813,164000,22000,27000,23000,23000,106759,8.5,Excellent
5,132,1,USA,263700000,73058679,212204,738,462,24000,475,640,632,530,1873,6.6,Good
6,156,0,USA,258000000,336530303,383056,1902,392,0,0,24000,11000,4000,46055,6.2,Good
7,100,1,USA,260000000,200807262,294810,387,324,29000,15,799,553,284,2036,7.8,Good
8,141,4,USA,250000000,458991599,462669,1117,635,118000,0,26000,21000,19000,92000,7.5,Good
9,153,3,UK,250000000,301956980,321795,973,375,10000,282,25000,11000,10000,58753,7.5,Good
10,183,0,USA,250000000,330249062,371639,3018,673,197000,0,15000,4000,2000,24450,6.9,Good
11,169,0,USA,209000000,200069408,240396,2367,434,0,0,18000,10000,903,29991,6.1,Good
12,106,1,UK,200000000,168368427,330784,1243,403,0,395,451,412,393,2023,6.7,Good
13,151,2,USA,225000000,423032628,522040,1832,313,5000,563,40000,5000,1000,48486,7.3,Good
14,150,1,USA,215000000,89289910,181792,711,450,48000,563,40000,2000,1000,45757,6.5,Good
15,143,0,USA,225000000,291021565,548573,2536,733,118000,0,15000,3000,748,20495,7.2,Good
16,150,4,USA,225000000,141614023,149922,438,258,0,80,22000,216,201,22697,6.6,Good
17,173,3,USA,220000000,623279547,995415,1722,703,123000,0,26000,21000,19000,87697,8.1,Excellent
18,136,4,USA,250000000,241063875,370704,484,448,58000,252,40000,11000,1000,54083,6.7,Good
19,106,1,USA,225000000,179020854,268154,341,451,40000,188,10000,816,718,12572,6.8,Good
20,164,0,New Zealand,250000000,255108370,354228,802,422,65000,0,5000,972,773,9152,7.5,Good
21,153,0,USA,230000000,262030663,451803,1225,599,56000,464,15000,10000,963,28489,7,Good
22,156,0,USA,200000000,105219735,211765,546,343,17000,0,891,882,738,3244,6.7,Good
23,186,6,USA,225000000,258355354,483540,951,509,83000,0,5000,972,773,9152,7.9,Good
24,113,2,USA,180000000,70083519,149019,666,251,0,129,16000,6000,1000,24106,6.1,Good
25,201,0,New Zealand,207000000,218051260,316018,2618,446,0,0,6000,919,84,7123,7.2,Good
26,194,0,USA,200000000,658672302,793059,2528,315,26000,0,29000,14000,794,45223,7.7,Good
27,147,0,USA,250000000,407197282,272670,1022,516,72000,94,21000,19000,11000,64798,8.2,Excellent
28,131,0,USA,209000000,65173160,202382,751,377,44000,532,14000,10000,627,26679,5.9,Fair
29,124,0,USA,150000000,652177271,418214,1290,644,150000,365,3000,2000,1000,8458,7,Good
30,143,0,UK,200000000,304360277,522030,1498,750,80000,0,883,563,393,2039,7.8,Good
31,135,1,USA,200000000,373377893,411164,1303,300,0,0,24000,11000,4000,43388,7.3,Good
32,195,3,USA,200000000,408992272,557489,1187,608,95000,1000,21000,4000,3000,30426,7.2,Good
33,108,0,USA,200000000,334185206,306320,736,451,24000,13000,40000,25000,11000,79957,6.5,Good
34,104,0,Canada,210000000,234360014,383427,1912,334,0,420,20000,808,560,21714,6.8,Good
35,104,0,USA,200000000,268488329,235025,265,376,44000,37,12000,779,760,14863,7.3,Good
36,150,0,USA,200000000,402076689,323207,1439,366,0,0,894,581,464,3218,6,Fair
37,165,2,USA,210000000,245428137,242420,918,378,56000,0,974,956,808,3988,5.7,Fair
38,130,4,USA,215000000,234903076,175409,511,525,60000,0,44000,15000,11000,73441,6.4,Good
39,142,0,USA,200000000,202853933,321227,1067,495,41000,464,15000,10000,825,28631,6.7,Good
40,125,0,USA,170000000,172051787,264183,665,469,30000,364,12000,10000,1000,25550,6.8,Good
41,106,0,USA,200000000,191450875,101178,283,304,10000,487,1000,919,776,4482,6.3,Good
42,123,2,USA,200000000,116593191,223393,550,436,24000,258,16000,368,326,17657,5.6,Fair
43,103,3,USA,200000000,414984497,544884,733,453,30000,125,15000,1000,721,19085,8.3,Excellent
44,118,0,USA,200000000,125320003,286095,974,422,0,368,23000,3000,988,27468,6.6,Good
45,140,0,USA,190000000,350034110,278232,657,424,94000,0,26000,23000,14000,79150,7.2,Good
46,123,0,USA,190000000,202351611,465019,995,654,129000,395,17000,11000,1000,32392,7,Good
47,149,7,USA,200000000,233914986,514125,752,539,82000,0,34000,22000,20000,91434,8,Good
48,132,0,USA,190000000,228756232,395573,1171,590,92000,14000,19000,981,928,21411,7.8,Good
49,114,1,USA,195000000,65171860,106416,205,338,22000,0,979,557,140,1766,6.3,Good
50,143,4,Australia,105000000,144812796,362912,753,490,115000,1000,29000,509,77,29770,7.3,Good
51,116,2,USA,200000000,90755643,222403,453,306,23000,179,15000,567,236,16149,6.6,Good
52,131,0,USA,190000000,101785482,381148,1106,575,83000,0,16000,968,919,19166,7,Good
53,154,2,USA,195000000,352358779,326180,899,428,46000,0,894,829,581,2593,6.3,Good
54,122,2,USA,185000000,317011114,333847,2054,470,5000,14000,11000,1000,1000,14959,6.2,Good
55,93,0,USA,,123070338,62836,345,298,20000,113,275,150,113,696,6.8,Good
56,93,0,USA,185000000,237282182,273556,428,488,39000,56,2000,1000,838,5005,7.2,Good
57,122,4,USA,185000000,130468626,53607,432,322,30000,681,998,119,105,1327,7.5,Good
58,98,0,USA,180000000,223806889,718837,1043,421,16000,475,1000,729,522,2975,8.4,Excellent
59,91,2,USA,140000000,140080850,121084,221,162,0,420,268,268,173,1125,6.2,Good
60,158,0,USA,200000000,166112167,283418,1055,367,13000,776,1000,468,310,2144,5.8,Fair
61,96,0,USA,200000000,137850096,72809,249,240,0,0,18000,14000,10000,48878,6.8,Good
62,127,1,USA,176000000,47375327,139593,720,384,44000,0,17000,15000,13000,47334,5.4,Fair
63,110,2,USA,180000000,124051759,42372,239,248,29000,282,11000,10000,103,21175,6.6,Good
64,150,5,USA,180000000,291709845,286506,1463,284,0,80,1000,190,82,1317,6.9,Good
65,144,6,USA,178000000,154985087,148379,622,396,54000,0,34000,13000,1000,49684,7.3,Good
66,152,0,USA,185000000,533316061,1676169,4667,645,37000,22000,23000,13000,11000,57802,9,Excellent
67,96,1,USA,175000000,292979556,665575,704,408,27000,0,1000,848,262,2635,8.3,Excellent
68,94,2,USA,175000000,198332128,114553,187,219,0,11,1000,973,459,2579,6.5,Good
69,126,3,USA,140000000,318298180,696338,1055,486,10000,4000,21000,12000,4000,39252,7.9,Good
70,126,0,USA,170000000,73820094,245333,678,682,42000,17000,17000,16000,1000,36017,7.5,Good
71,106,2,USA,170000000,113745408,129601,648,85,0,188,10000,4000,582,15870,4.8,Fair
72,112,2,USA,145000000,102176165,117927,501,264,0,357,5000,3000,595,9131,5.2,Fair
73,123,8,USA,175000000,161087183,118992,971,418,80000,452,10000,336,329,11287,6.9,Good
74,96,0,USA,175000000,100289690,115099,257,186,2000,293,87000,11000,7000,108016,5.4,Fair
75,113,1,USA,178000000,100189501,431620,741,585,77000,218,10000,854,509,12652,7.9,Good
76,176,0,USA,175000000,88246220,144337,309,91,0,58,711,60,60,1004,6.1,Good
77,118,4,USA,175000000,150167630,174578,534,250,0,208,23000,2000,570,26683,5.8,Fair
78,95,1,USA,175000000,356454367,345198,773,536,118000,0,1000,767,384,2944,8.3,Excellent
79,106,0,UK,175000000,362645141,106072,398,370,65000,4000,19000,13000,591,32921,7.8,Good
80,124,4,USA,200000000,312057433,522371,723,453,18000,4000,21000,19000,4000,48638,7,Good
81,132,0,USA,170000000,155111815,228554,710,416,53000,274,26000,17000,11000,72881,6.1,Good
82,97,2,USA,180000000,241407328,252257,634,401,89000,171,11000,2000,846,15516,7,Good
83,130,0,USA,170000000,208543795,317542,620,521,45000,198,10000,2000,884,14363,7.6,Good
84,109,3,Belgium,,,2138,15,10,677,596,622,525,283,1982,4.5,Fair
85,128,2,USA,175000000,38297305,116994,324,218,35000,47,18000,1000,982,20965,6.3,Good
86,136,1,USA,170000000,259746958,496749,742,576,55000,94,19000,11000,2000,36188,7.8,Good
87,93,2,USA,165000000,238371987,138661,173,226,0,31,4000,225,213,4628,6.4,Good
88,130,2,USA,190000000,93417865,128306,497,443,37000,663,2000,638,604,5046,6.5,Good
89,102,0,USA,165000000,222487711,279093,433,384,41000,38,756,719,562,2963,7.9,Good
90,101,1,USA,165000000,189412677,272534,345,377,40000,66,975,931,833,4451,7.8,Good
91,100,0,USA,165000000,665426,120798,444,188,10000,0,15000,726,267,16264,6.6,Good
92,120,0,USA,165000000,102315545,58137,520,286,67000,776,890,812,535,3233,5.5,Fair
93,98,0,USA,165000000,217387997,485430,492,288,33000,255,18000,953,759,20453,8.2,Excellent
94,109,0,USA,200000000,150350192,305340,1676,280,0,84,648,284,191,1769,6.4,Good
95,121,3,USA,170000000,333130696,682155,1097,653,96000,571,14000,14000,3000,32438,8.1,Excellent
96,169,1,USA,165000000,187991439,928227,2725,712,349000,22000,11000,11000,6000,31488,8.6,Excellent
97,148,0,USA,160000000,292568851,1468200,2803,642,175000,22000,29000,27000,23000,81115,8.8,Excellent
98,120,0,Japan,,,374,13,1,0,28,544,106,12,699,8.2,Excellent
99,182,,USA,180000000,303001229,637246,1367,645,166000,0,5000,972,773,9152,7.9,Good
100,106,2,USA,38000000,144512310,272223,988,187,14000,357,23000,14000,4000,45327,6.7,Good
101,166,2,USA,150000000,127490802,459346,822,362,23000,21000,11000,1000,919,13333,7.8,Good
102,132,3,USA,160000000,146405371,518537,698,500,54000,905,34000,13000,1000,50983,7.8,Good
103,137,1,USA,160000000,281666058,166137,383,389,38000,508,34000,22000,14000,81385,6.6,Good
104,109,0,USA,150000000,63143812,124185,238,235,11000,226,12000,418,370,13388,6.1,Good
105,98,0,USA,160000000,60655503,82380,629,231,0,249,87000,2000,702,92456,5.6,Fair
106,113,1,USA,170000000,76846624,21352,131,218,30000,33,40000,25000,11000,80806,6.4,Good
107,93,2,USA,160000000,320706665,211971,326,227,0,50,3000,795,692,4705,6.1,Good
108,123,0,USA,160000000,46978995,111609,781,275,89000,0,3000,716,648,5505,7.3,Good
109,126,2,USA,155000000,89732035,188457,867,474,82000,230,24000,10000,2000,38873,6.6,Good
110,113,4,USA,155000000,104383624,106446,227,228,11000,150,531,82,59,764,6.3,Good
111,184,0,USA,140000000,198539855,254111,1999,191,0,0,3000,961,691,5401,6.1,Good
112,144,0,USA,150000000,318759914,513158,1782,396,8000,0,662,599,581,2333,7.1,Good
113,206,3,Germany,155000000,34293771,138863,1390,248,0,0,12000,11000,591,24598,5.5,Fair
114,138,3,UK,150000000,292000866,355137,1108,329,0,282,21000,11000,687,33433,7.5,Good
115,157,1,UK,150000000,289994397,385670,1896,295,0,179,21000,11000,10000,53413,7.6,Good
116,102,0,USA,150000000,227946274,343648,590,318,0,532,10000,9000,979,21584,6.4,Good
117,104,0,USA,150000000,256386216,530870,1413,323,11000,508,10000,1000,558,13076,7.2,Good
118,115,3,USA,150000000,206456431,320284,1361,276,0,13000,40000,16000,588,57844,6.7,Good
119,111,0,USA,150000000,206435493,473887,626,318,10000,663,1000,1000,954,4764,8,Good
120,128,0,USA,150000000,205343774,980946,2685,478,15000,22000,23000,14000,11000,59558,8.3,Excellent
121,89,0,USA,150000000,179982968,146019,119,167,0,35,1000,851,436,3285,6.7,Good
122,105,2,USA,150000000,177243721,130272,209,185,2000,189,49000,3000,1000,54039,5.9,Fair
123,119,0,USA,150000000,179883016,361924,641,350,0,151,20000,16000,2000,40054,6.7,Good
124,129,0,Australia,150000000,139259759,364948,2121,245,0,0,309,269,233,1062,6.7,Good
125,102,0,USA,150000000,400736600,421658,904,406,58000,69,1000,523,490,2582,7.6,Good
126,138,0,USA,150000000,281492479,421818,2789,275,0,0,234,198,30,534,7.2,Good
127,112,3,USA,170000000,206360018,414070,532,486,63000,230,26000,20000,12000,59803,7.1,Good
128,120,0,Australia,150000000,153629485,552503,1588,739,191000,750,27000,9000,943,40025,8.1,Excellent
129,146,2,USA,150000000,133375846,207839,435,298,0,2000,15000,745,294,16948,6.7,Good
130,115,1,USA,150000000,181015141,536314,738,516,63000,0,26000,20000,12000,60059,7,Good
131,96,0,USA,150000000,114053579,146766,178,225,0,59,17000,759,699,20007,6.9,Good
132,88,0,USA,150000000,119420252,33042,90,145,0,12,730,607,182,2217,5.1,Fair
133,99,0,USA,150000000,83640426,152826,253,310,19000,473,14000,897,502,16184,5.8,Fair
